EmployeePPPER,Status,ZipCode,Sex,Eeoc,Shift,BaseRate,Grade,Training,LastEval,StartEval,Education,StartGrade,StartRate,Experience,EngagementIndex,CommitmentIndex,Unscheduled,Tenure,Age,EntryAge,CareerAge,CareerStage,ServiceLength,SalaryProg,JobLevelProg,AvgEval,LastPromotion,TotalEmployment
112,ACTIVE,75011,F,WHITE,3,15.02,17,5000,5,0,2,13,8.56,12,7,5,3,12,45,33,45,3,5,0.54,0.33,2.5,2,24
113,ACTIVE,75018,M,WHITE,1,28.44,57,5000,1,8,6,53,21.36,20,7,5,6,14,55,41,55,4,5,0.51,0.29,4.5,14,34
114,ACTIVE,75062,F,WHITE,3,15.02,17,5000,5,5,2,11,6.22,10,5,5,5,35,65,31,65,4,6,0.25,0.17,5,35,45
115,ACTIVE,75012,F,WHITE,1,13.77,8,5000,0,6,1,6,6,5,0,4,7,14,40,26,40,3,5,0.56,0.14,3,14,19
116,ACTIVE,75018,F,WHITE,2,16.67,21,5000,0,1,2,19,9.97,0,4,4,5,36,56,20,56,4,6,0.19,0.06,0.5,36,36
117,ACTIVE,75032,F,WHITE,1,10.62,6,5000,4,5,1,1,6,28,10,8,3,13,62,49,62,4,5,0.36,0.38,4.5,7,41
118,TERM,75028,F,WHITE,1,11.96,5,5000,10,6,1,4,3.27,27,5,6,2,15,64,48,63,4,5,0.58,0.07,8,4,42
119,ACTIVE,75042,M,WHITE,1,15.35,14,5000,5,5,1,8,6,4,9,8,3,35,60,25,60,4,6,0.27,0.17,5,29,39
120,ACTIVE,75038,F,WHITE,1,12.94,7,5000,1,3,1,1,6,0,7,5,1,17,38,21,38,3,5,0.41,0.35,2,17,17
121,ACTIVE,75028,F,WHITE,1,11.26,3,3000,4,3,0,0,6,36,3,2,1,11,68,57,68,4,5,0.48,0.27,3.5,11,47
122,TERM,75042,M,WHITE,2,9.62,5,5000,8,4,1,0,1.56,1,2,6,1,19,49,22,41,3,5,0.42,0.26,6,19,20
123,TERM,75022,F,WHITE,1,7.21,7,5000,0,1,1,1,6,11,8,8,8,2,43,32,34,2,3,0.61,3,0.5,2,13
124,ACTIVE,75022,F,WHITE,1,11.34,6,5000,8,0,1,0,3.44,0,4,6,2,26,48,21,48,3,6,0.3,0.23,4,3,26
125,ACTIVE,75002,F,WHITE,1,11.73,5,5000,9,8,1,2,6,4,2,2,6,18,43,25,43,3,5,0.32,0.17,8.5,4,22
126,TERM,75022,M,WHITE,3,10.62,10,5000,6,0,1,7,6,16,6,6,10,0,41,37,38,3,1,4.62,3,3,0,16
127,ACTIVE,75001,F,WHITE,1,13.65,3,3000,1,7,0,3,5.51,5,4,4,9,12,37,26,37,3,5,0.68,0,4,1,17
128,TERM,75002,M,WHITE,1,35.2,58,5000,2,4,6,50,32.95,11,0,4,9,5,39,32,37,3,4,0.45,1.6,3,5,16
129,TERM,75001,F,WHITE,1,20.63,25,5000,6,2,3,20,13.54,14,6,8,7,9,46,35,44,3,4,0.79,0.56,4,9,23
130,ACTIVE,75055,F,WHITE,3,12.32,5,5000,2,2,1,2,6,5,1,3,6,30,56,26,56,4,6,0.21,0.1,2,4,35
131,TERM,75028,F,HISPANIC,1,9.93,3,3000,10,1,0,6,6,22,0,1,1,21,70,43,64,4,6,0.19,-0.14,5.5,21,43
133,TERM,75022,M,WHITE,1,11.61,5,5000,8,3,1,4,11.32,27,2,3,4,13,63,48,61,4,5,0.02,0.08,5.5,2,40
134,ACTIVE,75028,F,WHITE,2,12.77,6,5000,7,5,1,2,8.06,0,2,2,4,30,50,20,50,4,6,0.16,0.13,6,14,30
135,TERM,75018,F,WHITE,1,11.14,7,5000,8,1,1,2,5.68,9,9,9,8,7,41,30,36,3,4,0.78,0.71,4.5,7,16
136,TERM,75028,F,WHITE,1,7.09,1,1000,7,2,0,3,6,0,10,5,5,6,27,16,22,1,4,0.18,-0.33,4.5,0,6
137,ACTIVE,75028,F,WHITE,1,16.67,21,5000,0,9,2,14,7.07,21,7,5,8,16,59,42,59,4,5,0.6,0.44,4.5,3,37
138,TERM,75055,F,WHITE,1,11.83,3,3000,5,5,0,3,5.59,35,2,5,2,20,85,56,76,4,6,0.31,0,5,20,55
139,ACTIVE,75038,F,WHITE,2,15.02,17,5000,5,4,2,9,8.63,12,9,5,4,19,53,33,53,4,5,0.34,0.42,4.5,19,31
140,ACTIVE,75028,F,WHITE,1,11.41,3,3000,4,2,0,0,6,10,7,6,2,28,59,31,59,4,6,0.19,0.11,3,5,38
140,ACTIVE,75062,M,WHITE,2,11.63,5,5000,8,3,1,3,6,17,10,6,1,5,44,38,44,3,4,1.13,0.4,5.5,2,22
141,ACTIVE,75062,F,WHITE,1,13.67,9,5000,3,4,1,6,10.34,0,5,5,8,29,47,18,47,3,6,0.11,0.1,3.5,1,29
142,TERM,75042,M,WHITE,1,18.62,26,5000,4,3,3,19,9.13,12,4,4,4,10,44,33,43,3,5,0.95,0.7,3.5,5,22
143,ACTIVE,75032,M,WHITE,2,21.53,37,5000,7,3,4,35,12.4,0,4,4,5,13,34,21,34,2,5,0.7,0.15,5,1,13
144,TERM,75020,F,WHITE,1,11.51,13,5000,10,4,1,6,6,37,8,8,7,6,70,58,64,4,4,0.92,1.17,7,6,43
145,ACTIVE,75012,F,WHITE,1,12.32,5,5000,2,8,1,1,10.38,23,1,2,2,16,60,44,60,4,5,0.12,0.25,5,7,39
146,TERM,75011,F,WHITE,1,20.26,38,5000,10,8,4,34,10.29,0,0,2,7,30,52,19,49,3,6,0.33,0.13,9,2,30
147,TERM,75022,F,WHITE,1,29.76,54,5000,7,2,5,50,26.14,20,2,6,5,4,54,41,45,3,3,0.91,1,4.5,4,24
148,TERM,75028,F,WHITE,3,18.93,55,5000,1,2,6,48,18.78,19,10,10,2,3,53,40,42,3,3,0.05,2.33,1.5,3,22
149,ACTIVE,75018,F,WHITE,1,15.02,17,5000,5,5,2,13,12,5,3,5,2,34,60,26,60,4,6,0.09,0.12,5,12,39
150,ACTIVE,75062,F,WHITE,1,26.08,45,5000,4,1,5,39,19.87,1,0,1,5,15,37,22,37,3,5,0.41,0.4,2.5,4,16
151,TERM,75028,F,WHITE,1,9.8,9,5000,8,2,1,1,6.72,3,4,5,4,9,42,24,32,2,4,0.34,0.89,5,5,12
152,ACTIVE,75012,F,WHITE,1,21.53,37,5000,7,1,4,33,19.02,4,1,5,6,26,51,25,51,4,6,0.1,0.15,4,9,30
153,TERM,75018,F,WHITE,1,12.16,6,5000,3,3,1,4,6,7,3,5,1,33,62,28,60,4,6,0.19,0.06,3,2,40
154,ACTIVE,75028,F,WHITE,1,15.02,17,5000,5,4,2,14,6.27,14,3,5,8,12,47,35,47,3,5,0.73,0.25,4.5,5,26
155,ACTIVE,75032,F,WHITE,1,12.77,6,5000,7,5,1,3,5.51,45,5,4,7,1,68,66,68,4,2,7.26,3,6,1,46
156,ACTIVE,75042,F,WHITE,1,12.77,6,5000,7,2,1,1,6,0,3,6,5,30,50,20,50,4,6,0.23,0.17,4.5,30,30
157,TERM,75038,F,WHITE,1,13.95,0,0,0,9,0,8,6.24,2,3,4,7,27,53,23,49,3,6,0.29,-0.3,4.5,21,29
158,ACTIVE,75028,F,WHITE,1,21.53,37,5000,7,1,4,29,21.01,7,6,5,3,21,48,28,48,3,6,0.02,0.38,4,19,28
159,TERM,75022,F,WHITE,2,17.42,37,5000,5,2,4,28,12.59,13,10,7,3,7,48,34,42,3,4,0.69,1.29,3.5,1,20
160,TERM,75028,F,WHITE,1,14.67,25,5000,7,2,3,22,13.58,41,9,8,5,4,74,62,66,4,3,0.27,0.75,4.5,4,45
161,TERM,75018,F,WHITE,2,20.9,37,5000,3,0,4,34,18.93,15,9,5,5,14,52,36,50,4,5,0.14,0.21,1.5,8,29
162,TERM,75022,F,WHITE,1,8.01,9,5000,2,7,1,0,6,0,2,1,4,5,29,18,23,1,4,0.4,1.8,4.5,3,5
163,ACTIVE,75002,F,WHITE,1,11.41,3,3000,4,2,0,1,6,26,5,3,0,13,61,47,61,4,5,0.42,0.15,3,9,39
164,ACTIVE,75001,F,WHITE,1,12.28,6,5000,4,5,1,1,10.57,1,4,3,9,12,33,22,33,2,5,0.14,0.42,4.5,12,13
165,TERM,75042,M,WHITE,1,26.87,49,5000,7,5,5,42,19.63,11,10,8,8,9,48,32,41,3,4,0.8,0.78,6,9,20
166,ACTIVE,75055,M,WHITE,1,21.53,37,5000,7,1,4,35,21.12,3,1,3,7,14,37,24,37,3,5,0.03,0.14,4,14,17
167,TERM,75018,F,WHITE,1,11.73,5,5000,9,1,1,5,6,2,6,8,4,26,50,23,49,3,6,0.22,0,5,1,28
168,ACTIVE,75062,F,WHITE,1,12.77,6,5000,7,2,1,1,12.02,0,10,10,1,27,46,18,46,3,6,0.03,0.19,4.5,27,27
169,ACTIVE,75012,F,WHITE,1,11.34,6,5000,8,7,1,2,6,11,9,9,7,13,45,32,45,3,5,0.41,0.31,7.5,9,24
170,ACTIVE,75018,F,WHITE,1,20.66,39,5000,6,5,4,30,18.1,5,8,5,1,33,59,26,59,4,6,0.08,0.27,5.5,9,38
171,ACTIVE,75032,F,WHITE,1,12.94,7,5000,1,7,1,1,6,13,5,4,8,14,47,34,47,3,5,0.5,0.43,4,9,27
172,ACTIVE,75012,F,WHITE,1,20.66,39,5000,6,1,4,33,17.4,0,8,7,6,14,34,21,34,2,5,0.23,0.43,3.5,9,14
173,TERM,75018,F,WHITE,3,10.17,1,1000,0,1,0,3,7.47,7,10,9,4,29,60,28,57,4,6,0.09,-0.07,0.5,2,36
174,ACTIVE,75042,M,WHITE,1,21.53,37,5000,7,0,4,34,20.47,6,4,3,4,14,41,27,41,3,5,0.08,0.21,3.5,13,20
175,TERM,75018,F,WHITE,2,10.84,1,1000,1,7,0,0,6,11,6,8,1,29,64,32,61,4,6,0.17,0.03,4,13,40
176,ACTIVE,75038,F,WHITE,1,12.32,5,5000,2,2,1,3,11.58,18,1,4,8,17,56,39,56,4,5,0.04,0.12,2,15,35
177,TERM,75062,F,WHITE,2,9.16,5,5000,6,1,1,3,1.41,5,6,6,7,4,38,26,30,2,3,1.94,0.5,3.5,2,9
178,TERM,75018,M,WHITE,2,11.29,17,5000,2,3,2,13,6,24,4,4,7,4,59,45,50,4,3,1.32,1,2.5,0,28
179,ACTIVE,75022,F,WHITE,1,80.34,95,5000,2,4,10,89,76.43,6,8,6,6,24,52,27,52,4,6,0.16,0.25,3,2,30
180,ACTIVE,75028,F,WHITE,1,15.89,13,5000,7,2,1,12,15.53,10,6,4,8,31,61,31,61,4,6,0.01,0.03,4.5,31,41
181,TERM,75001,F,WHITE,3,18.94,37,5000,1,0,4,32,16.82,11,5,7,6,9,46,32,41,3,4,0.24,0.56,0.5,9,20
182,ACTIVE,75032,F,WHITE,1,12.32,5,5000,2,3,1,2,7.37,19,8,8,8,14,54,40,54,4,5,0.35,0.21,2.5,1,33
183,ACTIVE,75022,M,WHITE,1,20.84,41,5000,4,3,4,36,13.02,28,5,6,4,4,53,49,53,4,3,1.96,1.25,3.5,4,32
